group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
23v,8,8,9,9,-,-,-,-
23v,8,8,8,-,-,-,-,-
23v,7,7,K,-,-,-,-,-
23v,10,10,-,-,-,-,-,-
23v,9,9,8,9,-,-,-,-
23v,9,9,-,-,-,-,-,-
23v,8,8,7,K,-,-,-,-
