group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,7,-,-,-,-,-
23a,8,-,-,-,-,-
23a,8,-,-,-,-,-
23a,8,-,-,-,-,-
23a,8,-,-,-,-,-
23a,8,-,-,-,-,-
23a,8,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,9,-,-,-,-,-
23a,10,-,-,-,-,-
23a,10,-,-,-,-,-
23a,10,-,-,-,-,-
23a,10,-,-,-,-,-
