group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
21b,6,6,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,8,8,-,-,-,-,-,-
21b,7,7,8,7,7,8,4,-
21b,9,9,7,9,9,-,-,-
21b,8,8,-,-,-,-,-,-
21b,8,8,-,-,-,-,-,-
21b,6,6,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,8,8,7,-,-,-,-,-
21b,9,9,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,8,8,10,9,9,9,9,7
21b,7,7,9,-,-,-,-,-
21b,8,8,-,-,-,-,-,-
21b,8,8,-,-,-,-,-,-
21b,7,7,9,9,9,9,8,9
21b,7,7,-,-,-,-,-,-
21b,8,8,10,10,10,9,9,10
21b,8,8,9,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,8,8,-,-,-,-,-,-
21b,7,7,-,-,-,-,-,-
21b,8,8,-,-,-,-,-,-
21b,9,9,-,-,-,-,-,-
