group,lke01,lke02,lke03,lke04,lke05,lke06
23v,9,9,-,-,-,-
23v,8,8,-,-,-,-
23v,8,8,-,-,-,-
23v,9,9,-,-,-,-
23v,10,10,-,-,-,-
23v,10,10,-,-,-,-
23v,10,10,-,-,-,-
