group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,8,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,8,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-,-,-,-
23e,-,9,-,-,-,-,-,-,-,-,-
23e,-,9,-,-,-,-,-,-,-,-,-
23e,-,8,-,-,-,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-,-,-,-
23e,-,4,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,5,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,9,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,7,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-,-,-,-
23e,-,9,-,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-,-,-,-
23e,-,8,-,-,-,-,-,-,-,-,-
23e,-,7,-,-,-,-,-,-,-,-,-
23e,9,8,-,-,-,-,-,-,-,-,-
23e,-,8,-,-,-,-,-,-,-,-,-
