group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
22b,6,6,6,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,K,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,5,7,K,-,-,-,-,-,-,-,-,-,-,-,19.0,16.0,6.45
22b,6,6,6,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,5,7,4,-,-,-,-,-,-,-,-,-,-,1,16.0,18.0,6.33
22b,6,8,8,-,-,-,-,-,-,-,-,8,8,9,6,K,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,8,K,K,-,-,-,-,-,-,-,-,S¹,-,-,22.0,20.0,7.75
22b,7,7,7,-,-,-,-,-,-,-,-,8,8,7,8,6,8,7,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,8,8,8,8,9,7,7,-,9,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,7.71
22b,7,7,7,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,7,6,5,5,-,-,-,-,-,-,-,-,-,-,-,16.0,18.0,6.75
22b,7,7,7,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,7,8,8,-,-,-,-,-,-,-,-,-,-,-,15.0,16.0,7.27
22b,7,K,K,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,9,7,8,-,-,-,-,-,-,-,-,-,-,-,16.0,16.0,7.4
22b,7,7,7,-,-,-,-,-,-,-,-,8,8,7,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,S¹,-,-,-,9,7,6,7,7,8,8,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,29.0,7.6
22b,7,7,7,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,4,8,9,6,-,-,-,-,-,-,-,-,-,-,1,16.0,18.0,7.33
22b,7,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,6,7,6,4,K,K,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,19.0,20.0,7.17
22b,7,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,9,6,8,8,-,-,-,-,-,-,-,-,-,-,-,16.0,18.0,8.0
22b,8,8,8,7,6,-,-,-,-,K¹,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,9,8,8,K,6,-,-,7,8,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,24.0,7.67
22b,8,6,6,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,-,8,6,-,-,-,-,-,-,8,5,7,5,5,5,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,31.0,6.47
22b,8,6,6,-,-,-,-,-,-,-,-,9,9,10,8,6,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.0,32.0,7.89
22b,8,7,7,-,-,-,-,-,-,-,-,8,8,-,K,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,6,7,6,6,7,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,26.0,7.13
22b,8,7,7,-,-,-,-,-,-,-,-,8,8,-,6,6,8,-,-,-,-,-,-,8,8,-,-,-,-,-,S¹,-,-,-,9,8,8,8,7,8,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,34.0,7.67
22b,8,7,7,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,7,-,9,-,-,-,-,-,-,S¹,S¹,S¹,-,-,18.0,22.0,7.64
22b,8,8,8,-,-,-,-,-,-,-,-,9,9,9,9,10,9,9,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,10,10,10,9,9,9,-,10,-,10,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,40.0,9.19
22b,8,8,8,-,-,-,-,-,-,-,-,9,9,8,8,8,9,9,-,-,-,-,-,9,9,8,6,8,-,-,S¹,-,-,-,9,8,8,8,8,9,9,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,44.0,8.3
22b,8,8,8,-,-,-,-,-,-,-,-,9,9,8,7,7,9,9,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,9,8,9,9,10,10,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,36.0,8.6
