group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
22c,5,5,5,5,O,4,-,5,-,-,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,8,8,8,7,7,7,-,9,-,7,-
22c,5,6,5,4,4,5,-,6,-,6,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,5,5,5,6,6,6,-,7,-,6,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,8,8,8,9,8,8,-,8,-,-,-
22c,7,9,7,7,7,7,-,9,-,-,-
22c,-,-,-,-,-,-,-,-,-,-,-
22c,8,7,8,9,10,10,-,9,-,-,-
22c,8,7,8,6,7,7,-,7,-,-,-
22c,6,8,6,7,4,5,-,6,-,7,-
22c,6,7,6,6,7,7,-,7,-,8,-
22c,7,7,7,5,O,6,-,6,-,-,-
22c,7,8,7,8,7,7,-,8,-,8,-
22c,7,9,7,7,8,8,-,8,-,-,-
22c,9,9,9,9,9,9,-,10,-,-,-
22c,7,7,7,5,8,8,-,8,-,6,-
22c,8,8,8,9,8,8,-,8,-,-,-
22c,7,7,7,9,9,9,-,10,-,-,-
22c,8,8,8,6,8,8,-,7,-,-,-
22c,7,8,7,7,O,8,-,8,-,-,-
22c,10,10,10,10,9,9,-,10,-,-,-
22c,10,10,10,10,O,10,-,10,-,-,-
22c,10,10,10,10,10,10,-,10,-,10,-
