group,lke01,lke02,lke03,lke04,lke05,lke06
21a,7,7,-,-,-,-
21a,8,8,6,-,8,8
21a,9,9,-,-,-,-
21a,9,9,7,6,9,8
21a,9,9,7,5,5,-
21a,9,9,-,-,-,-
21a,7,7,-,-,-,-
21a,9,9,-,-,-,-
21a,8,8,-,-,-,-
21a,9,9,-,-,-,-
21a,9,9,-,-,-,-
21a,9,9,-,-,-,-
21a,9,9,-,-,-,-
21a,9,9,-,-,-,-
21a,8,8,-,-,-,-
21a,9,9,9,8,9,7
21a,8,8,-,-,-,-
21a,9,9,9,9,9,10
21a,8,8,-,-,-,-
21a,9,9,7,6,K,-
21a,9,9,8,6,8,4
21a,9,9,-,-,-,-
21a,8,8,-,-,-,-
21a,9,9,7,5,9,8
21a,9,9,8,6,7,7
21a,9,9,9,-,-,-
21a,10,10,8,7,9,9
21a,10,10,8,6,8,5
21a,9,9,-,-,-,-
