group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,6,5,6,5,6,6,-,8,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,7,6,7,6,6,6,-,6,-,-,-
22e,7,7,7,7,7,7,-,9,-,-,-
22e,8,6,8,7,8,8,-,7,-,-,-
22e,7,6,7,7,8,8,-,6,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,8,7,8,9,8,8,-,8,-,8,-
22e,9,8,9,8,9,9,-,10,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,9,8,9,9,9,9,-,8,-,-,-
22e,8,6,8,8,8,8,-,8,-,-,-
22e,8,7,8,9,9,9,-,8,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
22e,9,9,9,9,9,9,-,8,-,-,-
22e,9,8,9,8,8,8,-,8,6,-,K
22e,-,-,-,-,-,-,-,-,-,-,-
22e,9,7,9,9,8,8,-,9,-,-,-
22e,-,-,-,-,-,-,-,-,-,-,-
