group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
22e,7,7,7,-,-,-
22e,7,8,8,-,-,-
22e,7,9,9,7,7,-
22e,7,9,9,-,-,-
22e,8,8,8,6,7,-
22e,8,8,8,-,-,-
22e,8,8,8,7,8,-
22e,8,8,8,-,7,-
22e,8,-,-,-,-,-
22e,8,8,8,-,-,-
22e,8,8,8,-,-,-
22e,8,7,7,-,-,-
22e,8,7,7,-,-,-
22e,8,8,8,-,-,-
22e,9,8,8,8,8,-
22e,9,8,8,8,7,-
22e,9,7,7,-,-,-
22e,9,9,9,9,8,-
22e,9,10,9,9,10,-
22e,9,8,8,-,-,-
22e,9,8,8,-,-,-
22e,9,-,-,-,-,-
22e,9,9,9,9,9,-
22e,9,8,8,-,-,-
22e,9,8,8,-,-,-
22e,9,8,8,-,-,-
22e,9,9,9,10,8,-
22e,9,9,9,-,-,-
22e,9,8,8,-,-,-
22e,10,9,9,10,10,-
22e,10,9,9,-,-,-
