group,lke01,lke02,lke03,lke04,lke05,lke06
22f,6,6,-,-,-,-
22f,7,7,-,-,-,-
22f,7,7,-,-,-,-
22f,7,7,-,-,-,-
22f,8,8,-,-,-,-
22f,8,8,-,-,-,-
22f,8,8,-,-,-,-
22f,8,8,7,5,8,-
22f,8,8,-,-,-,-
22f,7,7,-,-,-,-
22f,7,7,5,-,-,-
22f,8,8,-,-,-,-
22f,7,7,-,-,-,-
22f,8,8,7,-,-,-
22f,8,8,K,-,-,-
22f,7,7,-,-,-,-
22f,7,7,-,-,-,-
22f,7,7,-,-,-,-
22f,8,8,-,-,-,-
22f,9,9,-,-,-,-
22f,7,7,-,-,-,-
22f,8,8,6,-,-,-
22f,8,8,-,-,-,-
22f,8,8,7,7,7,-
22f,8,8,-,-,-,-
22f,8,8,8,7,7,-
22f,9,9,-,-,-,-
22f,8,8,-,-,-,-
22f,-,-,-,-,-,-
22f,-,-,S,K,-,-
