group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
21d,7,7,5,5,9,-,-,-
21d,5,5,-,-,-,-,-,-
21d,9,9,-,-,-,-,-,-
21d,8,8,-,-,-,-,-,-
21d,10,10,9,8,5,-,-,-
21d,6,6,7,-,-,-,-,-
21d,7,7,-,-,-,-,-,-
21d,9,9,9,-,-,-,-,-
21d,9,9,-,-,-,-,-,-
21d,8,8,-,-,-,-,-,-
21d,9,9,8,7,7,7,6,5
21d,7,7,-,-,-,-,-,-
21d,8,8,-,-,-,-,-,-
21d,9,9,9,8,9,7,7,6
21d,8,8,6,-,-,-,-,-
21d,8,8,9,7,7,8,7,6
21d,9,9,-,-,-,-,-,-
21d,8,8,7,7,6,-,-,-
21d,9,9,-,-,-,-,-,-
21d,9,9,-,-,-,-,-,-
21d,9,9,-,-,-,-,-,-
21d,10,10,8,8,8,-,-,-
21d,9,9,-,-,-,-,-,-
21d,8,8,-,-,-,-,-,-
21d,9,9,9,9,7,7,7,6
21d,10,10,10,-,-,-,-,-
21d,8,8,9,8,5,5,7,6
21d,9,9,8,9,9,9,8,8
21d,8,8,-,-,-,-,-,-
21d,10,10,9,10,8,9,9,9
