group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
21c,9,9,9,9,9,8,S¹,-,-,-,-,10,10,9,9,9,8,8,8,-,10¹,S¹,-,7,7,-,-,-,-,-,S¹,-,-,-,8,8,7,8,8,8,8,8,8,8,9,9,8¹,9¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.0,64.0,8.39
21c,9,10,10,9,9,8,S¹,-,-,S¹,-,10,10,8,10,9,9,9,9,S¹,9¹,S¹,-,9,9,9,7,9,8,S¹,S¹,S¹,S¹,-,9,10,9,10,9,9,9,9,10,9,10,8,9¹,9¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.0,84.0,9.09
21c,9,9,9,-,-,-,-,-,S¹,-,-,10,10,9,10,8,9,K,K,S¹,5¹,S¹,-,10,10,9,K,10,6,K¹,S¹,-,K¹,-,9,9,10,9,9,9,9,7,10,K,8,K,K¹,K¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0,54.0,9.04
21c,9,9,9,-,-,-,-,-,-,-,-,9,9,8,7,9,9,8,9,S¹,9¹,S¹,-,8,8,9,8,10,8,S¹,S¹,-,-,-,9,9,8,9,9,9,9,10,9,8,10,8,9¹,10¹,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.0,70.0,8.72
21c,9,10,10,7,9,9,S¹,-,-,-,-,9,9,9,9,8,8,8,7,-,8¹,-,-,9,9,9,7,10,9,S¹,-,-,S¹,-,8,8,9,8,8,8,8,9,9,8,7,9,8¹,7¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.0,72.0,8.53
21c,9,10,9,9,7,8,S¹,-,S¹,S¹,-,10,10,8,-,-,-,-,-,-,-,-,-,8,8,9,8,8,5,S¹,S¹,-,-,-,9,7,6,7,6,6,6,6,6,-,8,-,-,-,-,S¹,S¹,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.0,87.0,7.72
21c,10,9,9,7,7,7,S¹,-,-,-,-,9,9,9,9,8,8,8,5,-,7¹,S¹,-,9,9,8,5,6,5,S¹,-,-,S¹,-,9,8,8,8,8,7,7,6,8,6,6,6,5¹,5¹,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.0,76.0,7.59
21c,10,9,9,9,9,9,S¹,-,-,S¹,-,9,9,9,10,8,9,8,8,-,8¹,S¹,-,10,10,9,8,10,9,S¹,-,-,S¹,-,10,9,9,9,9,9,9,9,10,9,9,9,8¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.0,76.0,9.09
21c,10,10,10,10,10,10,S¹,-,S¹,S¹,-,9,9,10,9,-,-,-,-,-,-,-,-,10,10,10,9,10,10,S¹,-,-,S¹,-,9,9,9,9,10,10,10,10,9,10,10,10,8¹,10¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.0,66.0,9.68
21c,10,10,10,10,8,-,-,-,-,-,-,9,9,8,8,9,7,9,6,S¹,9¹,-,-,10,10,9,7,10,8,S¹,S¹,S¹,S¹,-,9,8,10,8,7,7,7,6,7,7,6,7,8¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.0,76.0,8.26
21c,10,10,10,9,9,9,S¹,-,-,S¹,-,9,9,8,8,-,-,-,-,-,-,-,-,9,9,8,7,8,8,S¹,S¹,S¹,S¹,-,9,8,8,8,8,7,7,7,8,6,7,5,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.0,68.0,8.14
21c,10,10,10,-,-,-,-,-,S¹,-,-,9,9,10,9,10,10,10,10,-,10¹,-,-,9,9,9,9,10,9,S¹,S¹,-,-,-,9,10,10,10,10,9,9,10,10,9,10,9,10¹,10¹,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40.0,68.0,9.55
21c,10,10,10,9,10,-,-,-,S¹,-,-,9,9,8,7,-,-,-,-,-,-,-,-,9,9,8,10,K,-,-,-,-,-,-,9,8,7,8,7,6,6,K,6,-,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,40.0,8.33
21c,10,9,9,10,10,9,S¹,-,-,-,-,10,10,10,10,10,10,8,10,-,9¹,S¹,-,10,10,9,10,10,8,S¹,S¹,S¹,-,-,10,10,10,10,10,10,10,10,10,10,10,10,9¹,9¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.0,78.0,9.75
