group,lke01,lke02,lke03,lke04,lke05,lke06
21c,8,8,-,-,-,-
21c,8,8,-,-,-,-
21c,7,7,6,5,4,-
21c,9,9,9,9,8,7
21c,9,9,8,7,5,5
21c,6,6,6,4,5,5
21c,9,9,8,-,7,6
21c,9,9,7,7,4,-
21c,9,9,-,-,-,-
21c,9,9,8,9,10,9
21c,8,8,8,7,7,5
21c,9,9,9,8,8,7
21c,8,8,8,6,8,8
21c,8,8,-,-,-,-
21c,9,9,-,-,-,-
21c,8,8,9,8,9,8
21c,7,7,-,-,-,-
21c,9,9,9,7,9,8
21c,10,10,9,K,10,6
21c,8,8,9,8,10,8
21c,9,9,9,7,10,9
21c,8,8,9,8,8,5
21c,9,9,8,5,6,5
21c,10,10,9,8,10,9
21c,10,10,10,9,10,10
21c,10,10,9,7,10,8
21c,9,9,8,7,8,8
21c,9,9,9,9,10,9
21c,9,9,8,10,K,-
21c,10,10,9,10,10,8
