group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23d,6,-,-,-,-,-
23d,6,7,7,-,-,-
23d,7,7,7,-,-,-
23d,7,-,-,-,-,-
23d,7,8,8,-,-,-
23d,7,8,8,-,-,-
23d,8,8,8,-,-,-
23d,8,8,8,-,-,-
23d,8,7,7,-,-,-
23d,8,8,8,-,-,-
23d,8,8,8,-,-,-
23d,8,8,8,-,-,-
23d,8,7,7,-,-,-
23d,8,7,7,-,-,-
23d,8,8,8,-,-,-
23d,8,8,8,-,-,-
23d,8,7,7,-,-,-
23d,8,9,9,-,-,-
23d,8,9,9,-,-,-
23d,9,7,7,-,-,-
23d,9,7,7,-,-,-
23d,9,9,9,-,-,-
23d,9,-,-,-,-,-
23d,9,8,8,-,-,-
23d,9,9,9,-,-,-
23d,9,9,9,-,-,-
23d,9,8,8,-,-,-
23d,10,8,8,-,-,-
23d,10,8,8,-,-,-
23d,10,10,10,-,-,-
23d,10,9,9,-,-,-
23d,10,10,10,-,-,-
23d,10,9,9,-,-,-
