group,lke01,lke02,lke03,lke04,lke05,lke06
22e,8,8,-,-,-,-
22e,8,8,-,-,-,-
22e,7,7,8,7,8,-
22e,9,9,-,-,-,-
22e,7,7,-,-,-,-
22e,8,8,-,-,-,-
22e,8,8,-,-,-,-
22e,6,6,-,-,-,-
22e,7,7,-,-,-,-
22e,7,7,8,7,8,-
22e,9,9,-,-,-,-
22e,7,7,-,-,-,-
22e,8,8,-,-,-,-
22e,8,8,-,-,-,-
22e,8,8,7,7,8,-
22e,9,9,-,-,-,-
22e,9,9,8,8,7,-
22e,8,8,K,-,-,-
22e,9,9,8,7,8,-
22e,9,9,-,-,-,-
22e,8,8,-,-,-,-
22e,9,9,-,-,-,-
22e,9,9,8,8,9,-
22e,9,9,7,6,9,-
22e,8,8,-,-,-,-
22e,7,7,-,-,-,-
22e,10,10,8,9,6,-
22e,8,8,6,6,6,-
22e,8,8,-,-,-,-
22e,8,8,-,-,-,-
22e,10,10,-,-,-,-
