group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23v,7,6,6,-,-,-
23v,8,8,8,-,-,-
23v,8,9,9,-,-,-
23v,9,8,8,-,-,-
23v,9,9,9,-,-,-
23v,9,9,9,-,-,-
23v,10,9,9,-,-,-
