group,lke01,lke02,lke03,lke04,lke05,lke06
21b,7,7,-,-,-,-
21b,7,7,-,-,-,-
21b,6,6,-,-,-,-
21b,7,7,-,-,-,-
21b,7,7,-,-,-,-
21b,8,8,-,-,-,-
21b,9,9,-,-,-,-
21b,8,8,-,-,-,-
21b,9,9,7,-,-,-
21b,8,8,-,-,-,-
21b,8,8,-,-,-,-
21b,7,7,-,-,-,-
21b,7,7,-,-,-,-
21b,8,8,-,-,-,-
21b,10,10,-,-,-,-
21b,9,9,-,-,-,-
21b,8,8,-,-,-,-
21b,9,9,-,-,-,-
21b,7,7,-,-,-,-
21b,8,8,-,-,-,-
21b,9,9,9,8,9,8
21b,9,9,-,-,-,-
21b,9,9,-,-,-,-
21b,9,9,9,8,8,9
21b,8,8,-,-,-,-
21b,9,9,-,-,-,-
21b,9,9,-,-,-,-
21b,8,8,-,-,-,-
21b,8,8,-,-,-,-
21b,10,10,-,-,-,-
