group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
22e,8,8,-,-,-,-,-,-
22e,8,8,-,K,-,-,-,-
22e,9,9,9,5,9,8,-,-
22e,10,10,-,-,-,-,-,-
22e,7,7,-,-,-,-,-,-
22e,7,7,-,-,-,-,-,-
22e,8,8,-,-,-,-,-,-
22e,9,9,-,-,-,-,-,-
22e,7,7,-,-,-,-,-,-
22e,7,7,7,-,-,-,-,-
22e,8,8,-,-,-,-,-,-
22e,7,7,-,-,-,-,-,-
22e,8,8,-,-,-,-,-,-
22e,8,8,-,8,8,8,8,-
22e,9,9,9,-,-,-,-,-
22e,10,10,-,-,-,-,-,-
22e,8,8,-,-,-,-,-,-
22e,9,9,-,-,-,-,-,-
22e,10,10,7,7,-,-,-,-
22e,9,9,-,-,-,-,-,-
22e,9,9,-,-,-,-,-,-
22e,8,8,-,-,-,-,-,-
22e,9,9,9,10,10,10,8,-
22e,7,7,-,-,-,-,-,-
22e,10,10,7,8,7,7,7,-
22e,9,9,-,-,-,-,-,-
22e,8,8,8,9,9,9,8,-
22e,9,9,9,10,10,7,6,8
22e,8,8,-,-,-,-,-,-
22e,9,9,-,-,-,-,-,-
22e,6,6,-,-,-,-,-,-
