group,lke01,lke02,lke03,lke04,lke05,lke06
22d,8,8,7,7,7,-
22d,8,8,5,6,5,-
22d,7,7,-,-,-,-
22d,10,10,8,7,8,-
22d,7,7,-,-,-,-
22d,8,8,8,6,6,-
22d,9,9,8,5,6,-
22d,7,7,-,-,-,-
22d,8,8,8,6,6,-
22d,9,9,-,-,-,-
22d,8,8,7,6,8,-
22d,8,8,8,-,-,6
22d,10,10,8,9,10,-
22d,7,7,6,-,-,-
22d,7,7,-,-,-,-
22d,9,9,9,9,10,-
22d,8,8,-,-,-,-
22d,10,10,9,7,10,-
22d,9,9,-,-,-,-
22d,8,8,7,9,9,9
22d,10,10,9,9,10,-
22d,10,10,10,9,10,-
22d,10,10,9,10,6,-
22d,10,10,10,10,10,-
22d,10,10,9,9,10,-
