group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
22c,6,8,8,-,8,-,-,-,-,-,-,7,7,6,9,6,-,9,-,-,-,-,-,8,8,K,-,K,-,-,-,-,K¹,-,6,5,5,5,5,O,4,-,5,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,28.0,35.0,6.58
22c,6,7,7,-,-,-,-,S¹,-,-,-,7,7,6,5,8,8,5,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,8,6,-,-,-,-,-,-,-,-,-,-,-,22.0,30.0,6.41
22c,6,8,8,-,-,-,-,S¹,-,-,-,7,7,5,K,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,6,5,4,-,-,-,-,-,-,-,-,-,-,2,19.0,22.0,6.08
22c,7,7,7,-,-,-,-,-,-,-,-,9,9,-,5,-,-,-,-,-,-,-,-,9,9,8,7,9,-,-,S¹,-,-,-,8,8,8,8,7,7,7,-,9,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,7.75
22c,7,6,6,6,7,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,7,5,6,5,4,4,5,-,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,22.0,32.0,5.89
22c,7,6,6,-,-,-,-,S¹,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,5,5,4,-,-,-,-,-,-,-,-,-,-,2,18.0,22.0,5.75
22c,7,8,8,7,7,-,-,-,-,-,-,7,7,-,5,6,7,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,5,5,5,5,6,6,6,-,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,6.38
22c,7,7,7,K,-,-,-,S¹,-,K¹,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,K,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,K,4,-,-,-,-,-,-,-,-,-,-,-,-,1,18.0,14.0,6.44
22c,7,7,7,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,7,7,6,-,-,-,-,-,-,-,-,-,-,-,17.0,20.0,6.75
22c,7,8,8,6,8,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,6,8,7,-,-,-,-,-,-,-,-,-,-,-,18.0,22.0,7.29
22c,7,8,8,-,-,-,-,S¹,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,5,7,7,-,-,-,-,-,-,-,-,-,-,-,17.0,20.0,6.67
22c,7,8,8,-,-,-,-,-,-,-,-,8,8,7,8,9,9,5,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,8,8,8,9,8,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,36.0,8.05
22c,7,8,8,-,-,-,-,S¹,-,-,-,9,9,7,7,8,7,5,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,7,9,7,7,7,7,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,7.75
22c,8,6,6,6,-,-,-,-,-,-,-,7,7,6,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,K¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,6,6,6,-,-,-,-,-,-,-,-,-,-,-,19.0,22.0,6.36
22c,8,7,7,-,-,-,-,-,-,-,-,9,9,7,7,6,9,K,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,8,7,8,9,10,10,-,9,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,36.0,8.11
22c,8,8,8,7,8,-,-,K¹,-,-,-,9,9,9,9,7,8,6,-,-,-,-,-,8,8,K,-,-,-,-,-,-,-,-,8,8,7,8,6,7,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,40.0,7.73
22c,8,7,7,-,-,-,-,S¹,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,5,4,K,-,-,-,-,K¹,-,9,6,8,6,7,4,5,-,6,-,7,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,26.0,36.0,6.94
22c,8,7,7,-,-,-,-,-,-,-,-,7,7,6,7,5,-,-,-,-,-,-,-,9,9,8,6,-,-,-,-,-,-,-,8,6,7,6,6,7,7,-,7,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,7.05
