group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
21c,9,9,9,9,8,9,8,7
21c,8,8,9,9,8,8,8,7
21c,8,8,7,6,6,6,K,K
21c,9,9,9,9,9,9,9,10
21c,7,7,7,7,8,5,6,6
21c,9,9,9,8,8,9,6,7
21c,8,8,8,10,9,9,8,9
21c,10,10,9,9,8,8,7,8
21c,9,9,7,8,8,8,6,7
21c,9,9,10,7,10,9,8,9
21c,8,8,7,9,7,8,6,5
21c,9,9,9,9,8,9,9,7
21c,8,8,9,9,7,9,8,9
21c,10,10,9,8,7,8,10,7
21c,9,9,10,-,-,-,-,-
21c,9,9,10,8,9,9,8,8
21c,10,10,9,9,9,8,8,8
21c,10,10,8,10,9,9,9,9
21c,10,10,9,10,8,9,K,K
21c,9,9,8,7,9,9,8,9
21c,9,9,9,9,8,8,8,7
21c,10,10,8,-,-,-,-,-
21c,9,9,9,9,8,8,8,5
21c,9,9,9,10,8,9,8,8
21c,9,9,10,9,-,-,-,-
21c,9,9,8,8,9,7,9,6
21c,9,9,8,8,-,-,-,-
21c,9,9,10,9,10,10,10,10
21c,9,9,8,7,-,-,-,-
21c,10,10,10,10,10,10,8,10
