group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
22e,5,7,6,4,-,-,-,-
22e,7,6,8,6,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,7,7,10,8,-,-,-,-
22e,8,5,7,4,-,-,-,-
22e,7,6,9,9,-,-,-,-
22e,4,6,8,7,-,-,-,-
22e,6,4,4,4,-,-,-,-
22e,7,5,7,8,-,-,-,-
22e,8,6,8,9,-,-,-,-
22e,8,9,9,8,-,-,-,-
22e,5,5,6,7,-,-,-,-
22e,7,6,5,7,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,5,6,9,8,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,8,6,6,7,-,-,-,-
22e,6,7,9,9,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,7,8,8,8,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,7,7,9,10,-,-,-,-
22e,-,-,-,-,-,-,-,-
22e,7,6,9,7,-,-,-,-
