group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
21a,8,8,-,-,-,-,-,-
21a,9,9,-,-,-,-,-,-
21a,7,7,-,-,-,-,-,-
21a,8,8,-,-,-,-,-,-
21a,9,9,6,6,6,7,K,-
21a,9,9,6,9,9,-,-,-
21a,7,7,-,-,-,-,-,-
21a,7,7,-,-,-,-,-,-
21a,9,9,5,8,-,-,-,-
21a,9,9,-,-,-,-,-,-
21a,9,9,10,8,9,8,7,-
21a,9,9,-,-,-,-,-,-
21a,8,8,-,-,-,-,-,-
21a,8,8,-,-,-,-,-,-
21a,7,7,-,-,-,-,-,-
21a,10,10,10,9,8,-,-,-
21a,10,10,-,-,-,-,-,-
21a,9,9,8,8,9,9,8,9
21a,9,9,-,-,-,-,-,-
21a,8,8,9,8,9,9,K,-
21a,7,7,7,7,6,6,-,-
21a,9,9,-,-,-,-,-,-
21a,7,7,-,-,-,-,-,-
21a,9,9,-,-,-,-,-,-
21a,9,9,7,-,-,-,-,-
21a,9,9,-,-,-,-,-,-
21a,9,9,9,10,8,7,-,-
21a,8,8,-,-,-,-,-,-
21a,8,8,-,-,-,-,-,-
