group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
22a,-,-,-,-,-,-,-,-,-,-,-
22a,8,5,6,6,5,5,-,6,-,7,-
22a,8,9,8,8,8,8,-,8,-,-,-
22a,-,-,-,-,-,-,-,-,-,-,-
22a,9,8,9,9,9,9,-,10,-,-,-
22a,9,7,9,8,9,9,-,9,-,7,-
22a,7,7,7,8,6,6,-,7,-,6,-
22a,9,9,9,9,9,9,-,9,-,-,-
22a,-,-,-,-,-,-,-,-,-,-,-
22a,8,6,8,7,6,6,-,8,-,-,-
22a,8,8,8,8,8,8,-,8,-,5,-
22a,-,-,-,-,-,-,-,-,-,7,-
22a,-,-,-,-,-,-,-,-,-,-,-
22a,8,7,8,9,8,8,-,8,-,-,-
22a,8,8,8,8,8,8,-,7,-,5,-
22a,8,8,8,8,8,8,-,7,-,-,-
22a,8,8,8,9,7,7,-,8,-,-,-
22a,10,8,7,8,9,9,-,9,-,-,-
22a,8,8,8,7,9,9,-,9,-,8,-
22a,9,9,9,8,8,8,-,8,-,9,-
22a,10,9,10,9,9,9,-,10,-,-,-
22a,10,9,10,10,10,10,-,10,-,-,-
22a,9,7,9,9,7,7,-,9,-,-,-
22a,9,8,9,9,9,9,-,8,-,-,-
22a,9,9,9,8,8,8,-,9,-,-,-
22a,8,8,8,9,9,9,-,8,-,-,-
22a,7,7,7,6,7,7,-,7,-,-,-
22a,9,7,-,9,8,8,9,9,-,9,-
22a,8,8,8,7,7,7,-,7,-,-,-
22a,10,10,10,10,10,10,-,10,-,-,-
