group,lke01,lke02,lke03,lke04,lke05,lke06
23a,9,9,-,-,-,-
23a,8,8,-,-,-,-
23a,9,9,-,-,-,-
23a,8,8,-,-,-,-
23a,8,8,-,-,-,-
23a,8,8,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,10,10,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,10,10,-,-,-,-
23a,8,8,-,-,-,-
23a,8,8,-,-,-,-
23a,8,8,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,9,9,-,-,-,-
23a,8,8,-,-,-,-
23a,9,9,-,-,-,-
23a,10,10,-,-,-,-
23a,9,9,-,-,-,-
23a,8,8,-,-,-,-
23a,9,9,-,-,-,-
23a,10,10,-,-,-,-
