group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23b,7,5,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,6,5,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,10,8,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,8,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,7,8,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-
