group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,4,6,6,6,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,5,6,-,-,-,4,4,-
22d,-,-,-,-,-,-,-,-
22d,9,6,8,7,-,-,-,-
22d,6,7,10,9,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-
