group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
22b,8,8,-,-,-,-,-,-
22b,6,6,-,-,-,-,-,-
22b,8,8,9,6,K,-,-,-
22b,8,8,7,8,6,8,7,-
22b,9,9,-,-,-,-,-,-
22b,7,7,-,-,-,-,-,-
22b,7,7,-,-,-,-,-,-
22b,8,8,7,-,-,-,-,-
22b,8,8,-,-,-,-,-,-
22b,8,8,-,-,-,-,-,-
22b,8,8,-,-,-,-,-,-
22b,8,8,-,-,-,-,-,-
22b,7,7,-,-,-,-,-,-
22b,9,9,10,8,6,-,-,-
22b,8,8,-,K,-,-,-,-
22b,8,8,-,6,6,8,-,-
22b,8,8,-,-,-,-,-,-
22b,9,9,9,9,10,9,9,-
22b,9,9,8,8,8,9,9,-
22b,9,9,8,7,7,9,9,-
22b,7,7,-,-,-,-,-,-
22b,8,8,-,-,-,-,-,-
22b,8,8,8,7,8,7,7,-
22b,10,10,9,9,9,8,9,-
22b,10,10,8,6,6,K,-,-
22b,9,9,7,7,-,-,-,-
22b,8,8,-,-,-,-,-,-
22b,9,9,9,-,-,-,-,-
22b,9,9,9,10,8,9,10,-
22b,9,9,8,10,10,10,10,-
22b,10,10,5,-,-,-,-,-
