group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
21b,6,6,6,-,-,-
21b,7,7,7,-,-,-
21b,7,6,6,-,-,-
21b,7,7,7,-,-,-
21b,7,8,8,-,-,-
21b,8,8,8,-,-,-
21b,8,8,8,-,-,-
21b,8,8,8,-,-,-
21b,8,8,8,-,-,-
21b,8,8,8,-,-,-
21b,8,8,8,-,-,-
21b,8,7,7,-,-,-
21b,8,8,8,-,-,-
21b,9,9,9,-,-,-
21b,9,9,9,-,-,-
21b,9,9,9,9,9,8
21b,9,8,8,-,-,-
21b,9,9,9,-,-,-
21b,9,8,8,-,-,-
21b,9,9,9,-,-,-
21b,9,9,9,9,8,8
21b,9,9,9,-,-,-
21b,9,9,9,-,-,-
21b,9,9,9,-,-,-
21b,9,9,9,-,-,-
21b,10,10,10,7,6,-
21b,10,10,10,-,-,-
21b,10,9,9,-,-,-
21b,10,9,9,-,-,-
21b,10,10,10,-,-,-
