group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23v,-,-,-,-,-,-,-,-
23v,-,-,-,-,-,-,-,-
23v,-,7,-,-,-,-,-,-
23v,-,-,-,-,-,-,-,-
23v,-,-,-,-,-,-,-,-
23v,-,-,-,-,-,-,-,-
23v,-,-,-,-,-,-,-,-
