group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-,-,-,-
23c,-,4,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,10,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,8,-,-,-,-,-,-,-,-,-
23c,-,6,-,-,-,-,-,-,-,-,-
23c,-,8,-,-,-,-,-,-,-,-,-
23c,-,9,-,-,-,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-,-,-,-
23c,-,8,-,-,-,-,-,-,-,-,-
23c,-,8,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,9,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,7,-,-,-,-,-,-,-,-,-
23c,-,9,-,-,-,-,-,-,-,-,-
23c,-,-,-,-,-,-,-,-,-,-,-
23c,-,6,-,-,-,-,-,-,-,-,-
23c,-,10,-,-,-,-,-,-,-,-,-
23c,-,9,-,-,-,-,-,-,-,-,-
23c,-,9,-,-,-,-,-,-,-,-,-
23c,-,8,-,-,-,-,-,-,-,-,-
