group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
22a,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,6,8,9,-,-,-,-,-,-,S¹,S¹,-,-,-,16.0,20.0,7.8
22a,8,-,-,-,-,-,-,-,-,-,-,8,8,7,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,8,8,5,6,6,5,5,-,6,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,28.0,6.73
22a,9,7,7,-,-,-,-,S¹,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,8,9,8,8,8,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0,28.0,8.33
22a,9,7,7,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,9,7,-,-,-,-,-,-,-,-,-,-,-,16.0,18.0,7.91
22a,9,7,7,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,8,9,8,9,9,9,9,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,26.0,8.8
22a,9,7,7,-,-,-,-,-,-,-,-,9,9,9,8,10,9,8,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,9,7,9,8,9,9,-,9,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,8.52
22a,9,9,9,9,10,-,-,S¹,-,-,-,9,9,8,8,-,-,-,-,-,-,-,-,8,8,9,5,6,-,-,-,-,-,-,9,7,7,7,8,6,6,-,7,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,44.0,7.78
22a,9,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,8,9,9,9,9,9,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.0,26.0,8.53
22a,9,8,8,-,-,-,-,S¹,-,S¹,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,7,10,9,-,-,-,-,-,-,S¹,S¹,-,-,-,20.0,26.0,8.25
22a,9,8,8,-,-,-,-,-,-,-,-,9,9,6,K,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,8,6,8,7,6,6,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21.0,28.0,7.81
