group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
22c,6,8,8,-,8,-
22c,6,7,7,-,-,-
22c,6,8,8,-,-,-
22c,7,7,7,-,-,-
22c,7,6,6,6,7,-
22c,7,6,6,-,-,-
22c,7,8,8,7,7,-
22c,7,7,7,K,-,-
22c,7,7,7,-,-,-
22c,7,8,8,6,8,-
22c,7,8,8,-,-,-
22c,7,8,8,-,-,-
22c,7,8,8,-,-,-
22c,8,6,6,6,-,-
22c,8,7,7,-,-,-
22c,8,8,8,7,8,-
22c,8,7,7,-,-,-
22c,8,7,7,-,-,-
22c,8,8,8,-,-,-
22c,8,8,8,-,-,-
22c,8,8,8,8,7,-
22c,8,9,9,9,7,-
22c,8,7,7,-,-,-
22c,8,9,9,-,-,-
22c,8,9,9,-,-,-
22c,9,9,9,7,-,-
22c,9,9,9,-,-,-
22c,9,10,10,9,9,-
22c,9,9,9,-,-,-
22c,10,10,10,-,-,-
