group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
22d,7,6,7,9,7,7,-,9,-,-,-
22d,5,6,5,5,6,6,-,6,-,-,-
22d,-,-,-,-,-,-,-,-,-,-,-
22d,8,7,8,8,10,10,-,9,-,-,-
22d,-,-,-,-,-,-,-,-,-,-,-
22d,7,8,7,7,6,6,-,8,-,-,-
22d,-,-,-,-,-,-,-,-,-,-,-
22d,-,-,-,-,-,-,-,-,-,-,-
22d,7,7,7,8,7,7,-,9,-,-,-
22d,9,8,9,10,9,9,-,9,-,-,-
22d,7,9,7,5,6,6,-,10,-,-,-
22d,5,6,5,4,K,K,-,4,-,-,-
22d,9,10,9,10,9,9,-,9,-,9,-
22d,7,7,7,6,7,7,-,9,-,7,-
22d,7,7,7,8,8,8,-,9,-,-,-
22d,8,8,8,9,8,8,-,9,-,-,-
22d,9,8,9,10,10,10,-,10,-,-,-
22d,7,9,7,6,9,9,-,10,-,-,-
22d,7,8,7,7,7,7,-,9,-,8,-
22d,8,9,9,7,8,6,8,9,6,-,-
22d,9,9,9,10,9,9,-,10,-,-,-
22d,10,10,10,9,9,9,-,10,-,-,-
22d,10,10,10,9,9,9,-,10,-,-,-
22d,9,9,9,10,10,10,-,10,-,-,-
22d,9,9,9,9,8,8,-,9,-,-,-
