group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
22a,8,8,-,-,-,-,-,-
22a,8,8,7,-,-,-,-,-
22a,9,9,-,-,-,-,-,-
22a,8,8,-,-,-,-,-,-
22a,9,9,-,-,-,-,-,-
22a,9,9,9,8,10,9,8,-
22a,9,9,8,8,-,-,-,-
22a,8,8,-,-,-,-,-,-
22a,8,8,-,-,-,-,-,-
22a,9,9,6,K,-,-,-,-
22a,9,9,8,7,9,7,8,-
22a,7,7,-,-,-,-,-,-
22a,7,7,-,-,-,-,-,-
22a,9,9,9,7,-,-,-,-
22a,8,8,-,-,-,-,-,-
22a,9,9,7,8,7,O,-,-
22a,9,9,-,-,-,-,-,-
22a,9,9,-,-,8,K,-,-
22a,9,9,-,-,-,-,-,-
22a,9,9,8,7,8,7,7,-
22a,9,9,7,9,10,9,8,-
22a,9,9,8,10,10,10,9,-
22a,9,9,9,-,-,-,-,-
22a,9,9,K,-,-,-,-,-
22a,9,9,9,9,8,9,9,-
22a,9,9,8,9,9,9,9,-
22a,9,9,K,-,-,-,-,-
22a,9,9,10,-,-,-,-,-
22a,10,10,10,10,8,8,9,-
22a,10,10,10,10,10,10,10,-
