group,lke01,lke02,lke03,lke04,lke05,lke06
23b,7,7,-,-,-,-
23b,9,9,-,-,-,-
23b,8,8,-,-,-,-
23b,8,8,-,-,-,-
23b,9,9,-,-,-,-
23b,9,9,-,-,-,-
23b,8,8,-,-,-,-
23b,9,9,-,-,-,-
23b,9,9,-,-,-,-
23b,9,9,-,-,-,-
23b,10,10,-,-,-,-
23b,10,10,-,-,-,-
23b,10,10,-,-,-,-
23b,9,9,-,-,-,-
23b,10,10,-,-,-,-
23b,8,8,-,-,-,-
23b,10,10,-,-,-,-
23b,9,9,-,-,-,-
23b,9,9,-,-,-,-
23b,9,9,-,-,-,-
23b,8,8,-,7,-,-
23b,-,-,-,-,-,-
23b,10,10,-,-,-,-
23b,9,9,-,-,-,-
23b,10,10,-,-,-,-
23b,10,10,-,-,-,-
23b,10,10,-,-,-,-
23b,9,9,-,-,-,-
23b,9,9,-,-,-,-
23b,10,10,-,-,-,-
