group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
22b,6,6,6,-,-,-
22b,6,6,6,-,-,-
22b,6,8,8,-,-,-
22b,7,7,7,-,-,-
22b,7,7,7,-,-,-
22b,7,7,7,-,-,-
22b,7,K,K,-,-,-
22b,7,7,7,-,-,-
22b,7,7,7,-,-,-
22b,7,8,8,-,-,-
22b,7,8,8,-,-,-
22b,8,8,8,7,6,-
22b,8,6,6,-,-,-
22b,8,6,6,-,-,-
22b,8,7,7,-,-,-
22b,8,7,7,-,-,-
22b,8,7,7,-,-,-
22b,8,8,8,-,-,-
22b,8,8,8,-,-,-
22b,8,8,8,-,-,-
22b,8,7,7,-,-,-
22b,8,7,7,-,-,-
22b,8,8,8,-,-,-
22b,8,9,9,-,-,-
22b,9,6,6,-,-,-
22b,9,7,7,-,-,-
22b,9,8,8,10,8,-
22b,9,9,9,10,9,-
22b,9,8,8,-,-,-
22b,9,10,10,-,-,-
22b,-,-,-,-,-,-
