group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,7,-,-,-,-,-,-,-,-,-
23a,-,6,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,7,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,10,-,-,-,-,-,-,-,-,-
23a,-,8,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,8,-,-,-,-,-,-,-,-,-
23a,-,8,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,10,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,-,-,-,-,-,-,-,-,-,-
23a,-,9,-,-,-,-,-,-,-,-,-
23a,-,8,-,-,-,-,-,-,-,-,-
23a,-,10,-,-,-,-,-,-,-,-,-
23a,-,10,-,-,-,-,-,-,-,-,-
23a,-,10,-,-,-,-,-,-,-,-,-
