group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
23b,-,-,-,-,-,-,-,-,-,-,-
23b,-,8,-,-,-,-,-,-,-,-,-
23b,-,6,-,-,-,-,-,-,-,-,-
23b,-,7,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,6,-,-,-,-,-,-,-,-,-
23b,-,8,-,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,7,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,10,-,-,-,-,-,-,-,-,-
23b,-,7,-,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-,-,-,-
23b,-,7,-,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-,-,-,-
23b,-,8,-,-,-,-,-,-,-,-,-
23b,-,7,-,-,-,-,-,-,-,-,-
23b,-,10,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,-,-,-,-,-,-,-,-,-,-
23b,-,8,-,-,-,-,-,-,-,-,-
23b,-,10,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,9,-,-,-,-,-,-,-,-,-
23b,-,10,-,-,-,-,-,-,-,-,-
23b,-,10,-,-,-,-,-,-,-,-,-
