group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
21c,8,8,8,-,-,-
21c,8,7,7,-,-,-
21c,8,8,8,7,O,K
21c,8,7,7,-,-,-
21c,8,7,7,9,8,8
21c,8,8,8,-,-,-
21c,8,9,9,9,9,8
21c,9,8,8,7,7,7
21c,9,7,7,-,-,-
21c,9,9,9,9,9,10
21c,9,9,9,9,9,7
21c,9,8,8,-,-,-
21c,9,8,8,-,-,-
21c,9,9,9,-,-,-
21c,9,10,10,9,9,9
21c,9,9,9,9,9,9
21c,9,9,9,9,9,8
21c,9,10,10,9,9,8
21c,9,9,9,-,-,-
21c,9,9,9,-,-,-
21c,9,10,10,7,9,9
21c,9,10,9,9,7,8
21c,10,9,9,7,7,7
21c,10,9,9,9,9,9
21c,10,10,10,10,10,10
21c,10,10,10,10,8,-
21c,10,10,10,9,9,9
21c,10,10,10,-,-,-
21c,10,10,10,9,10,-
21c,10,9,9,10,10,9
