group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
21a,9,9,9,9,9,9,S¹,-,-,-,-,9,9,8,8,9,9,8,9,-,10¹,-,-,9,9,9,9,9,10,S¹,-,-,-,-,10,9,8,9,9,9,9,9,10,9,9,8,9¹,9¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.0,70.0,8.94
21a,9,8,8,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,7,7,7,8,8,5,6,7¹,S¹,S¹,S¹,-,-,-,24.0,32.0,7.5
21a,9,9,9,9,8,-,-,-,-,-,-,8,8,9,8,9,9,K,-,-,-,-,-,9,9,7,6,K,-,-,-,-,-,-,10,10,10,10,9,10,10,10,10,10,9,7,10¹,10¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.0,54.0,8.93
21a,9,10,10,8,9,9,S¹,-,-,S¹,-,7,7,7,7,6,6,-,-,-,-,-,-,9,9,8,6,8,4,-,S¹,-,-,-,9,7,7,7,7,7,7,8,7,5,7,-,5¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,37.0,62.0,7.48
21a,9,9,9,10,9,8,S¹,S¹,-,S¹,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,10,9,10,10,9,9,10,9,7,9,8,10¹,9¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,50.0,9.09
21a,9,9,9,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,S¹,-,-,-,8,7,8,7,7,5,5,5,7,-,5,-,-,-,-,-,-,S¹,S¹,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,7.12
21a,10,9,9,8,8,7,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,7,5,9,8,S¹,-,-,-,-,8,7,6,7,6,5,5,6,6,-,-,5,-,5¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.0,50.0,7.38
21a,10,10,10,10,8,9,S¹,-,-,-,-,9,9,7,-,-,-,-,-,-,-,-,-,9,9,8,6,7,7,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,8,10,8,9,6,-,8,9¹,-,S¹,S¹,S¹,-,-,33.0,50.0,8.39
21a,10,9,9,9,9,10,S¹,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,9,9,9,-,-,-,-,-,-,-,-,10,9,9,9,8,9,9,9,9,9,7,8,8¹,7¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.0,48.0,8.96
21a,10,10,10,10,9,8,S¹,-,-,-,-,9,9,9,10,8,7,-,-,-,-,-,-,10,10,8,7,9,9,S¹,-,-,-,-,10,9,9,9,10,9,9,9,8,-,6,7,8¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.0,62.0,8.86
21a,10,9,9,9,8,8,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,10,10,8,6,8,5,S¹,-,-,-,-,9,7,8,7,7,6,6,9,7,5,7,7,6¹,5¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.0,54.0,7.73
21a,10,10,10,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,8,8,8,7,5,5,7,6,-,-,5,5¹,5¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23.0,34.0,7.76
