group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
23f,7,-,-,-,-,-
23f,7,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,8,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,9,-,-,-,-,-
23f,10,-,-,-,-,-
23f,10,-,-,-,-,-
23f,10,-,-,-,-,-
23f,10,-,-,-,-,-
23f,-,-,-,6,-,-
