group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
23f,6,6,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,9,9,8,-,-,-,-,-
23f,9,9,-,-,-,-,-,-
23f,10,10,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,7,7,-,-,-,-,-,-
23f,9,9,6,-,-,-,-,-
23f,9,9,-,-,-,-,-,-
23f,6,6,-,-,-,-,-,-
23f,7,7,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,9,9,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,8,8,7,-,-,-,-,-
23f,9,9,7,-,-,-,-,-
23f,7,7,-,-,-,-,-,-
23f,5,5,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,7,7,7,-,-,-,-,-
23f,9,9,-,-,-,-,-,-
23f,10,10,9,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,7,7,-,-,-,-,-,-
23f,8,8,-,-,-,-,-,-
23f,9,9,-,-,-,-,-,-
23f,6,6,-,-,-,-,-,-
23f,-,-,-,-,-,-,6,-
