group,lke01,lke02,lke03,lke04,lke05,lke06
21d,6,6,-,-,-,-
21d,6,6,-,-,-,-
21d,8,8,-,-,-,-
21d,6,6,-,-,-,-
21d,9,9,-,6,6,6
21d,8,8,-,-,-,-
21d,6,6,-,-,-,-
21d,5,5,-,-,-,-
21d,8,8,-,-,-,-
21d,8,8,-,-,-,-
21d,9,9,8,7,4,5
21d,6,6,-,-,-,-
21d,8,8,-,-,-,-
21d,9,9,7,7,7,7
21d,7,7,-,-,-,-
21d,9,9,-,-,-,-
21d,8,8,-,-,-,-
21d,7,7,-,-,-,-
21d,8,8,-,-,-,-
21d,8,8,-,-,-,-
21d,9,9,-,-,-,-
21d,8,8,-,-,-,-
21d,9,9,-,-,-,-
21d,7,7,-,-,-,-
21d,9,9,7,6,6,6
21d,8,8,-,-,-,-
21d,9,9,8,6,9,7
21d,8,8,-,-,-,-
21d,6,6,-,-,-,-
21d,9,9,9,9,10,8
