group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
22d,6,8,8,-,-,-,-,-,-,-,-,7,7,10,9,6,8,7,-,-,-,-,-,8,8,7,7,7,-,-,-,-,-,-,9,7,6,7,9,7,7,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,42.0,7.57
22d,7,6,6,6,6,-,-,-,-,-,-,7,7,6,-,6,6,5,-,-,-,-,-,8,8,5,6,5,-,-,-,-,-,-,5,5,6,5,5,6,6,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.0,45.0,6.0
22d,7,6,6,-,-,-,-,S¹,-,S¹,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,4,6,6,6,-,-,-,-,-,-,-,-,-,-,1,18.0,22.0,6.25
22d,7,8,8,7,8,-,-,-,-,-,-,9,9,7,10,8,9,9,-,-,-,-,-,10,10,8,7,8,-,-,-,-,-,-,8,8,7,8,8,10,10,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,47.0,8.4
22d,8,7,7,7,6,-,-,-,-,K¹,-,7,7,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,K¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,6,-,-,-,4,4,-,-,-,S¹,S¹,-,-,2,22.0,26.0,6.29
22d,8,7,7,-,-,-,-,-,-,-,-,8,8,5,6,6,-,-,-,-,-,-,-,8,8,8,6,6,-,-,S¹,-,K¹,-,8,7,8,7,7,6,6,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27.0,40.0,7.05
22d,8,7,7,-,-,-,-,-,-,-,-,7,7,7,-,6,5,-,-,-,-,-,-,9,9,8,5,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,9,6,8,7,-,-,-,-,-,-,-,-,-,-,-,22.0,30.0,7.06
22d,8,9,9,7,7,-,-,S¹,-,S¹,-,7,7,10,5,6,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,6,7,10,9,-,-,-,-,-,-,S¹,S¹,-,-,-,25.0,37.0,7.53
22d,8,8,8,-,-,-,-,-,-,S¹,-,8,8,7,10,10,7,5,-,-,-,-,-,8,8,8,6,6,-,-,-,-,K¹,-,8,7,7,7,8,7,7,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.0,45.0,7.61
22d,8,7,7,9,8,-,-,-,-,-,-,9,9,10,10,9,10,10,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,9,9,8,9,10,9,9,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,40.0,8.91
