group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
23e,8,8,-,-,-,-,-,-
23e,9,9,9,-,-,-,-,-
23e,5,5,-,-,-,-,-,-
23e,7,7,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,7,7,8,-,-,-,-,-
23e,8,8,8,-,-,-,-,-
23e,9,9,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,9,9,-,-,-,-,-,-
23e,7,7,-,-,-,-,-,-
23e,8,8,7,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,6,6,4,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,5,5,4,-,-,-,-,-
23e,6,6,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,9,9,-,-,-,-,-,-
23e,8,8,9,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,9,9,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,7,7,-,-,-,-,-,-
23e,7,7,-,-,-,-,-,-
23e,8,8,-,-,-,-,-,-
23e,9,9,-,-,-,-,-,-
23e,9,9,7,-,-,-,-,-
