group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06,lbi07,lbi08,lbi09,lbi10,lbi11,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08,lfy09,lfy10,lfy11,lfy12,lke01,lke02,lke03,lke04,lke05,lke06,lke07,lke08,lke09,lke10,lke11,lmay01A,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12,lmaa13,lmaa14,lmaa15,lmaa16,lmaa17,lmaa18,lmaa19,lmaa20,lmay01B,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09,lmab10,lmab11,lmab12,lmab13,lmab14,lmab15,Hylättyjä arvosanoja,Arvosanojen lukumäärä,Opintoviikkoja,Keskiarvo
21b,9,9,9,-,-,-,-,-,-,-,-,7,7,9,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,8,9,8,8,8,8,9,9,7,7,6,7¹,6¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26.0,40.0,8.25
21b,9,8,8,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,18.0,20.0,6.5
21b,9,9,9,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,10,9,8,9,9,9,9,8,7,-,8,9,7¹,7¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,36.0,8.56
21b,9,9,9,9,8,8,S¹,-,-,-,-,7,7,9,9,9,9,8,9,-,10¹,S¹,-,9,9,9,8,9,8,S¹,S¹,-,-,-,9,9,9,9,10,9,9,10,8,9,9,7,9¹,9¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.0,74.0,8.69
21b,9,9,9,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,10,10,10,10,10,9,9,10,10,10,9,9,9¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,38.0,9.21
21b,9,9,9,-,-,-,-,-,-,-,-,8,8,10,10,10,9,9,10,-,9¹,S¹,-,9,9,-,-,-,-,-,-,-,-,-,10,10,10,10,10,9,9,10,10,9,10,9,9¹,10¹,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.0,56.0,9.4
21b,9,9,9,-,-,-,-,-,-,-,-,8,8,9,-,-,-,-,-,-,-,-,-,9,9,9,8,8,9,S¹,S¹,-,-,-,9,8,8,8,6,8,8,7,7,8,9,8,7¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.0,52.0,8.25
21b,9,9,9,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,9,6,7,6,7,6,6,6,7,6,7,5,6¹,O¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.0,36.0,7.11
21b,10,10,10,7,6,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,S¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,9,8,7,8,8,8,6,6,7¹,-,-,-,-,-,-,24.0,32.0,7.94
21b,10,10,10,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,4,7,7,8,8,-,-,-,-,-,-,-,-,1,18.0,20.0,8.14
21b,10,9,9,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,9,9,8,9,8,9,9,9,10,-,7,7,8¹,8¹,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24.0,36.0,8.44
21b,10,9,9,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,8,9,9,9,8,8,8,9,7¹,-,-,-,-,-,-,21.0,26.0,8.56
21b,10,10,10,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,-,-,-,10,10,-,-,-,-,-,-,-,-,-,10,9,9,9,10,8,8,10,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,9¹,-,-,-,-,-,-,23.0,32.0,9.41
