group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
21b,-,-,-,-,-,-,-,-,-,-,-
21b,5,5,5,5,5,5,5,7,5,6,5
21b,-,-,-,-,-,-,-,-,-,-,-
21b,9,6,7,9,8,8,9,9,7,7,7
21b,-,-,-,-,-,-,-,-,-,-,-
21b,5,6,5,7,6,6,6,7,-,8,5
21b,7,8,7,7,6,6,7,9,6,8,6
21b,8,8,8,8,10,10,10,10,9,-,8
21b,-,-,-,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-,-,-,-
21b,8,7,8,7,7,7,7,7,8,6,7
21b,8,9,8,9,8,8,9,7,7,8,7
21b,9,9,9,9,9,9,9,9,10,9,10
21b,8,9,8,8,8,8,8,9,8,9,7
21b,8,8,8,8,9,9,8,8,8,9,7
21b,8,9,8,8,8,8,9,9,7,7,6
21b,-,-,-,-,-,-,-,-,-,-,-
21b,9,8,9,9,9,9,8,7,-,8,9
21b,9,9,9,10,9,9,10,8,9,9,7
21b,10,10,10,10,9,9,10,10,10,9,9
21b,10,10,10,10,9,9,10,10,9,10,9
21b,8,8,8,6,8,8,7,7,8,9,8
21b,6,7,6,7,6,6,6,7,6,7,5
21b,-,-,-,-,-,-,-,-,-,-,-
21b,-,-,-,-,-,-,-,-,-,-,-
21b,9,8,9,8,9,9,9,10,-,7,7
21b,-,-,-,-,-,-,-,-,-,-,-
21b,9,9,9,10,8,8,10,9,-,-,-
