group,lfy01,lfy02,lfy03,lfy04,lfy05,lfy06,lfy07,lfy08
22c,7,7,6,9,6,-,9,-
22c,7,7,6,5,8,8,5,-
22c,7,7,5,K,-,-,-,-
22c,9,9,-,5,-,-,-,-
22c,6,6,-,-,-,-,-,-
22c,6,6,-,-,-,-,-,-
22c,7,7,-,5,6,7,-,-
22c,7,7,-,-,-,-,-,-
22c,7,7,-,-,-,-,-,-
22c,8,8,-,-,-,-,-,-
22c,6,6,-,-,-,-,-,-
22c,8,8,7,8,9,9,5,-
22c,9,9,7,7,8,7,5,-
22c,7,7,6,-,-,-,-,-
22c,9,9,7,7,6,9,K,-
22c,9,9,9,9,7,8,6,-
22c,9,9,-,-,-,-,-,-
22c,7,7,6,7,5,-,-,-
22c,9,9,7,8,7,6,7,-
22c,9,9,7,7,8,7,6,-
22c,9,9,7,8,7,8,6,-
22c,9,9,7,8,8,8,6,-
22c,8,8,8,7,5,9,9,-
22c,9,9,9,7,9,9,8,9
22c,9,9,9,7,8,7,8,-
22c,9,9,8,7,8,8,9,-
22c,9,9,7,-,-,-,-,-
22c,10,10,10,10,9,10,8,-
22c,9,9,9,9,8,10,8,-
22c,7,7,9,10,10,10,9,-
