group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
22a,7,6,8,9,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,8,8,9,7,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,8,7,10,9,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,8,8,-,-,-,10,-,-
22a,9,6,9,7,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
22a,-,-,-,-,-,-,-,-
