group,lke01,lke02,lke03,lke04,lke05,lke06
23e,8,8,-,-,-,-
23e,8,7,-,-,-,-
23e,-,-,-,-,-,-
23e,8,8,-,-,-,-
23e,8,8,-,-,-,-
23e,9,9,-,-,-,-
23e,7,7,-,-,-,-
23e,9,9,-,-,-,-
23e,8,8,-,-,-,-
23e,7,7,-,-,-,-
23e,10,10,-,-,-,-
23e,9,9,-,-,-,-
23e,8,8,-,-,-,-
23e,8,8,-,-,-,-
23e,7,7,-,-,-,-
23e,7,7,-,-,-,-
23e,7,7,-,-,-,-
23e,7,7,-,-,-,-
23e,8,8,-,-,-,-
23e,9,9,-,-,-,-
23e,8,8,-,-,-,-
23e,8,8,-,-,-,-
23e,8,8,-,-,-,-
23e,7,7,-,-,-,-
23e,8,8,-,-,-,-
23e,9,9,-,-,-,-
23e,7,7,-,-,-,-
23e,8,8,-,-,-,-
23e,8,8,-,-,-,-
23e,8,8,-,-,-,-
23e,9,9,-,-,-,-
