group,lke01,lke02,lke03,lke04,lke05,lke06
22c,8,8,K,-,K,-
22c,7,7,-,-,-,-
22c,7,7,-,-,-,-
22c,9,9,8,7,9,-
22c,7,7,-,-,-,-
22c,7,7,-,-,-,-
22c,7,7,-,-,-,-
22c,7,7,K,-,-,-
22c,7,7,-,-,-,-
22c,8,8,-,-,-,-
22c,7,7,-,-,-,-
22c,9,9,-,-,-,-
22c,9,9,-,-,-,-
22c,7,7,-,-,-,-
22c,8,8,-,-,-,-
22c,8,8,K,-,-,-
22c,9,9,5,4,K,-
22c,9,9,8,6,-,-
22c,8,8,-,-,-,-
22c,8,8,7,5,8,-
22c,9,9,9,8,-,-
22c,9,9,9,9,8,-
22c,8,8,-,-,-,-
22c,9,9,8,8,8,-
22c,9,9,9,6,9,-
22c,9,9,-,-,-,-
22c,9,9,10,8,K,-
22c,8,8,-,-,-,-
22c,9,9,10,10,10,-
22c,10,10,10,9,9,-
