group,lmaa02,lmaa03,lmaa04,lmaa05,lmaa06,lmaa07,lmaa08,lmaa09,lmaa10,lmaa11,lmaa12
23d,-,6,-,5,4,4,-,K,-,-,-
23d,K,4,5,-,-,-,-,-,-,-,-
23d,-,6,-,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-,-,-,-
23d,-,6,-,-,-,-,-,-,-,-,-
23d,-,8,-,-,-,-,-,-,-,-,-
23d,-,8,-,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-,-,-,-
23d,-,7,-,-,-,-,-,-,-,-,-
23d,-,9,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,8,-,-,-,-,-,-,-,-,-
23d,-,8,-,-,-,-,-,-,-,-,-
23d,-,9,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,5,-,-,-,-,-,-,-,-,-
23d,-,8,-,-,-,-,-,-,-,-,-
23d,-,9,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,7,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,6,-,-,-,-,-,-,-,-,-
23d,-,7,-,-,-,-,-,-,-,-,-
23d,-,7,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
23d,-,10,-,-,-,-,-,-,-,-,-
