group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
21a,8,8,8,7,7,6
21a,8,8,8,6,6,5
21a,8,8,8,6,7,7
21a,8,9,9,9,8,8
21a,9,8,8,7,7,7
21a,9,9,9,8,7,7
21a,9,9,9,6,-,-
21a,9,8,8,-,-,-
21a,9,10,10,8,-,-
21a,9,9,9,-,-,-
21a,9,9,9,-,-,-
21a,9,9,9,-,-,-
21a,9,8,8,-,-,-
21a,9,9,9,-,-,-
21a,9,8,8,-,-,-
21a,9,9,9,-,-,-
21a,9,9,9,9,9,8
21a,9,9,9,9,9,9
21a,9,8,8,-,-,-
21a,9,9,9,9,8,-
21a,9,10,10,8,9,9
21a,9,9,9,10,9,8
21a,9,9,9,-,-,-
21a,10,9,9,8,8,7
21a,10,10,10,10,8,9
21a,10,9,9,9,9,10
21a,10,10,10,10,9,8
21a,10,9,9,9,8,8
21a,10,10,10,-,-,-
