Tapahtuma,Tapahtuma.1,Tyyppi1,1-Energia,X-Kulma,Y-Kulma,Z-Kulma,Transversaalinen-liike-energia,Eta,Phi,Varaus,Tyyppi2,2-Energia,X-Kulma2,Y-Kulma2,Z-Kulma2,Transversaalinen-liike-energia2,Eta2,Phi2,Varaus2,Massa[GeV],Massa(kg),Phi(deg),Phi2(deg)
163340,66868914,G,5.97271,-1.42019,-2.31013,-5.32057,2.71176,-1.42653,-2.122,-1,T,4.84521,2.03241,-1.24143,-4.21818,2.38156,-1.33636,-0.5483359999999999,1,3.61264,6.440115748471392e-27,-121.58164412675268,-31.417338555083433
163340,67362846,G,9.83535,8.69944,-1.3513,4.38367,8.80376,0.479361,-0.1541,1,G,9.17091,7.19804,2.01346,5.31306,7.47435,0.661524,0.272753,-1,3.74737,6.68029378857269e-27,-8.829279622965403,15.627595749530716
163340,67447906,G,7.2102,1.84832,3.45014,6.05443,3.91404,1.2204700000000002,1.0789799999999998,1,G,8.62829,5.7111,2.84617,5.80681,6.38101,0.816291,0.462333,-1,3.65799,6.520959466415382e-27,61.82100017902148,26.489729629620143
163340,68032821,G,7.643110000000001,-7.17984,1.32021,-2.2612,7.300210000000001,-0.304994,2.95975,1,G,6.30238,-5.60075,-2.23641,-1.82727,6.03075,-0.298538,-2.76169,-1,3.68489,6.568913071987452e-27,169.58118341383422,-158.2331813234739
163340,68219284,G,10.2052,8.82373,-3.18062,4.01993,9.37948,0.416446,-0.345965,1,G,9.55859,9.21509,-2.50745,0.387444,9.55015,0.0405583,-0.265671,-1,3.6644,6.53238632930449e-27,-19.822334359242223,-15.221827039019091
163340,69297986,G,17.9589,1.44909,4.33143,-17.3681,4.5674,-2.04569,1.24795,-1,G,10.746,-1.41691,4.0246,-9.8621,4.26674,-1.57481,1.90931,1,3.55905,6.3445828963298604e-27,71.50226804334636,109.39540478211602
163340,70083638,G,14.0999,-2.66143,6.6398600000000005,12.1501,7.15338,1.30007,1.95202,1,G,11.0297,-4.31485,6.6998,7.62478,7.969019999999999,0.8504959999999999,2.14296,-1,3.71946,6.630539694464272e-27,111.8425075251196,122.7825636653468
163340,69972839,G,13.361,-0.36643,2.77637,-13.0638,2.80045,-2.24451,1.70202,-1,G,24.657,1.4947700000000002,9.39335,-22.7484,9.51153,-1.6062299999999998,1.41299,1,3.67206,6.546041519590067e-27,97.51856264684996,80.95836349418487
163340,70533105,G,7.076110000000001,-3.5960300000000003,-1.16208,-5.98149,3.77914,-1.23981,-2.82903,-1,G,4.73642,-3.74389,-2.37157,-1.66776,4.431830000000001,-0.367955,-2.57694,1,3.8293,6.826347279447025e-27,-162.0914791158846,-147.64778605843264
163340,70964399,G,10.6043,2.77984,-5.90797,8.355080000000001,6.5292900000000005,1.06597,-1.13101,1,G,9.89272,-0.419885,-7.019639999999999,6.95724,7.03218,0.873818,-1.63054,-1,3.60089,6.419169470944559e-27,-64.80209958708697,-93.4230603272551
