group,lbi01,lbi02,lbi03,lbi04,lbi05,lbi06
21e,7,8,8,6,-,-
21e,7,7,7,-,-,-
21e,7,8,7,-,-,-
21e,7,8,7,7,7,-
21e,7,8,8,8,9,8
21e,7,9,9,-,-,-
21e,8,6,6,-,-,-
21e,8,8,8,9,8,9
21e,8,8,7,-,-,-
21e,8,8,7,-,-,-
21e,8,8,8,-,-,-
21e,8,8,8,8,7,8
21e,8,8,7,-,-,-
21e,8,8,8,-,-,-
21e,8,8,8,-,-,-
21e,8,8,8,-,-,-
21e,8,9,9,9,8,-
21e,8,9,9,10,9,8
21e,9,9,9,7,7,7
21e,9,9,9,8,6,8
21e,9,8,8,-,-,-
21e,9,9,9,8,-,-
21e,9,9,9,-,-,-
21e,9,9,9,-,-,-
21e,9,9,9,-,-,-
21e,9,9,9,9,8,9
21e,9,9,9,9,8,8
21e,9,9,9,-,-,-
21e,10,10,10,9,-,9
