group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
21a,5,6,7,7,4,4,6,6
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,5,5,7,5,8,8,7,5
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,9,7,6,6,6,6,6,5
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,5,7,7,7,8,8,5,6
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,7,8,10,8,9,6,-,8
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
21a,-,-,-,-,-,-,-,-
